merchant_id,merchant_name,category,merchant_risk_tier,avg_ticket_inr,std_ticket_inr,created_at
mer_0022,UrbanMart_0022,food_dining,LOW,420.0,180.0,2025-08-08T14:37:40
mer_0023,ChaiPoint_0023,pharmacy_healthcare,LOW,950.0,450.0,2026-04-30T16:18:33
mer_0024,ApolloPharmacy_0024,digital_gaming,HIGH,1250.0,1600.0,2025-10-20T04:54:50
mer_0025,MyntraTrends_0025,travel_airline,MEDIUM,8200.0,4200.0,2025-09-15T11:44:14
mer_0026,MyntraTrends_0026,grocery_supermarket,LOW,850.0,380.0,2025-08-18T04:15:31
mer_0027,TataCliq_0027,food_dining,LOW,420.0,180.0,2026-01-07T13:45:08
mer_0028,UrbanMart_0028,grocery_supermarket,LOW,850.0,380.0,2026-03-31T00:15:32
mer_0029,TataCliq_0029,grocery_supermarket,LOW,850.0,380.0,2026-02-17T20:07:58
mer_0030,TataCliq_0030,electronics,HIGH,14500.0,7500.0,2025-09-14T08:32:31
mer_0031,IndiGoAviation_0031,electronics,HIGH,14500.0,7500.0,2025-09-06T22:58:55
mer_0032,ChaiPoint_0032,pharmacy_healthcare,LOW,950.0,450.0,2025-11-10T23:45:41
mer_0033,ChaiPoint_0033,food_dining,LOW,420.0,180.0,2026-03-29T20:38:30
mer_0034,ZomatoDirect_0034,food_dining,LOW,420.0,180.0,2026-03-30T01:56:52
mer_0035,IndiGoAviation_0035,food_dining,LOW,420.0,180.0,2025-12-23T21:26:41
mer_0036,ChaiPoint_0036,grocery_supermarket,LOW,850.0,380.0,2025-11-24T04:05:18
mer_0037,CromaTech_0037,grocery_supermarket,LOW,850.0,380.0,2026-04-23T06:11:12
mer_0038,UrbanMart_0038,food_dining,LOW,420.0,180.0,2025-10-28T18:05:44
mer_0039,FlipkartExpress_0039,grocery_supermarket,LOW,850.0,380.0,2025-12-05T23:34:31
mer_0040,QuickKart_0040,electronics,HIGH,14500.0,7500.0,2026-04-28T16:16:43
mer_0041,PlayArena_0041,food_dining,LOW,420.0,180.0,2026-04-06T04:00:35
mer_0042,FreshBazaar_0042,travel_airline,MEDIUM,8200.0,4200.0,2025-12-30T08:01:11
mer_0043,ChaiPoint_0043,electronics,HIGH,14500.0,7500.0,2025-10-18T21:38:47
mer_0044,ChaiPoint_0044,food_dining,LOW,420.0,180.0,2025-09-21T03:24:41
mer_0045,ApolloPharmacy_0045,travel_airline,MEDIUM,8200.0,4200.0,2026-01-05T13:09:57
mer_0046,FreshBazaar_0046,travel_airline,MEDIUM,8200.0,4200.0,2026-02-11T06:04:25
mer_0047,RelianceDigital_0047,food_dining,LOW,420.0,180.0,2025-08-13T13:20:57
mer_0048,IndiGoAviation_0048,food_dining,LOW,420.0,180.0,2025-12-29T04:36:31
mer_0049,FlipkartExpress_0049,electronics,HIGH,14500.0,7500.0,2026-02-05T20:16:29
mer_0050,SteamGamesInd_0050,grocery_supermarket,LOW,850.0,380.0,2026-01-02T13:48:17
mer_0051,ApolloPharmacy_0051,grocery_supermarket,LOW,850.0,380.0,2026-04-28T17:38:46
mer_0052,NykaaBeauty_0052,grocery_supermarket,LOW,850.0,380.0,2026-02-09T11:30:38
mer_0053,ApolloPharmacy_0053,travel_airline,MEDIUM,8200.0,4200.0,2025-12-13T19:12:26
mer_0054,MyntraTrends_0054,electronics,HIGH,14500.0,7500.0,2025-08-27T00:29:48
mer_0055,AjioFashion_0055,electronics,HIGH,14500.0,7500.0,2025-10-14T16:17:43
mer_0056,FlipkartExpress_0056,travel_airline,MEDIUM,8200.0,4200.0,2025-10-03T01:12:53
mer_0057,PlayArena_0057,food_dining,LOW,420.0,180.0,2025-12-05T21:02:14
mer_0058,PharmEasyStore_0058,fashion_apparel,MEDIUM,2400.0,1100.0,2026-04-02T03:23:14
mer_0059,CredPay_0059,grocery_supermarket,LOW,850.0,380.0,2026-01-16T10:47:48
mer_0060,PharmEasyStore_0060,grocery_supermarket,LOW,850.0,380.0,2025-08-05T19:12:56
mer_0061,FlipkartExpress_0061,electronics,HIGH,14500.0,7500.0,2026-04-20T01:46:19
mer_0062,QuickKart_0062,food_dining,LOW,420.0,180.0,2025-09-06T14:47:02
mer_0063,CromaTech_0063,fashion_apparel,MEDIUM,2400.0,1100.0,2025-10-29T04:28:06
mer_0064,ChaiPoint_0064,travel_airline,MEDIUM,8200.0,4200.0,2026-02-14T08:16:24
mer_0065,PharmEasyStore_0065,fashion_apparel,MEDIUM,2400.0,1100.0,2025-10-03T22:38:01
mer_0066,SwiggyEats_0066,fashion_apparel,MEDIUM,2400.0,1100.0,2025-09-18T00:54:37
mer_0067,SwiggyEats_0067,fashion_apparel,MEDIUM,2400.0,1100.0,2026-04-20T07:56:25
mer_0068,SwiggyEats_0068,food_dining,LOW,420.0,180.0,2026-04-03T06:24:06
mer_0069,MakeMyTripDirect_0069,grocery_supermarket,LOW,850.0,380.0,2025-11-03T05:56:34
mer_0070,IndiGoAviation_0070,food_dining,LOW,420.0,180.0,2025-08-05T05:48:05
mer_0071,TataCliq_0071,grocery_supermarket,LOW,850.0,380.0,2026-04-25T12:41:49
mer_0072,RelianceDigital_0072,food_dining,LOW,420.0,180.0,2025-11-03T06:21:47
mer_0073,ZomatoDirect_0073,digital_gaming,HIGH,1250.0,1600.0,2026-03-26T03:19:16
mer_0074,QuickKart_0074,grocery_supermarket,LOW,850.0,380.0,2025-11-07T11:11:24
mer_0075,QuickKart_0075,grocery_supermarket,LOW,850.0,380.0,2025-11-14T16:55:11
mer_0076,NykaaBeauty_0076,food_dining,LOW,420.0,180.0,2026-04-07T13:56:39
mer_0077,TataCliq_0077,food_dining,LOW,420.0,180.0,2025-10-30T04:52:55
mer_0078,FlipkartExpress_0078,electronics,HIGH,14500.0,7500.0,2025-09-01T19:13:25
mer_0079,PharmEasyStore_0079,fashion_apparel,MEDIUM,2400.0,1100.0,2025-09-10T20:53:07
mer_0080,UrbanMart_0080,travel_airline,MEDIUM,8200.0,4200.0,2026-04-24T04:05:00
mer_0081,FreshBazaar_0081,electronics,HIGH,14500.0,7500.0,2026-02-24T14:27:39
mer_0082,ApolloPharmacy_0082,food_dining,LOW,420.0,180.0,2026-02-25T23:26:04
mer_0083,UrbanMart_0083,travel_airline,MEDIUM,8200.0,4200.0,2025-12-30T14:39:57
mer_0084,FreshBazaar_0084,grocery_supermarket,LOW,850.0,380.0,2026-03-24T09:13:06
mer_0085,RelianceDigital_0085,grocery_supermarket,LOW,850.0,380.0,2025-09-13T07:50:02
mer_0086,TataCliq_0086,grocery_supermarket,LOW,850.0,380.0,2025-10-04T06:32:38
mer_0087,SteamGamesInd_0087,electronics,HIGH,14500.0,7500.0,2025-09-25T17:53:37
mer_0088,FreshBazaar_0088,food_dining,LOW,420.0,180.0,2026-03-09T11:38:12
mer_0089,ApolloPharmacy_0089,grocery_supermarket,LOW,850.0,380.0,2026-04-28T01:34:11
mer_0090,ApolloPharmacy_0090,fashion_apparel,MEDIUM,2400.0,1100.0,2025-08-29T03:03:52
mer_0091,ApolloPharmacy_0091,grocery_supermarket,LOW,850.0,380.0,2026-02-12T23:52:25
mer_0092,TataCliq_0092,electronics,HIGH,14500.0,7500.0,2025-11-05T19:22:36
mer_0093,SwiggyEats_0093,food_dining,LOW,420.0,180.0,2025-08-29T10:51:05
mer_0094,AjioFashion_0094,food_dining,LOW,420.0,180.0,2026-04-22T05:39:57
mer_0095,MyntraTrends_0095,food_dining,LOW,420.0,180.0,2026-04-30T12:31:58
mer_0096,ApolloPharmacy_0096,fashion_apparel,MEDIUM,2400.0,1100.0,2026-04-30T12:48:53
mer_0097,IndiGoAviation_0097,food_dining,LOW,420.0,180.0,2026-03-20T19:00:34
mer_0098,CredPay_0098,grocery_supermarket,LOW,850.0,380.0,2026-04-18T01:15:25
mer_0099,MakeMyTripDirect_0099,grocery_supermarket,LOW,850.0,380.0,2025-09-22T14:31:27
mer_0100,MakeMyTripDirect_0100,pharmacy_healthcare,LOW,950.0,450.0,2025-11-19T09:36:18
mer_0101,MakeMyTripDirect_0101,fintech_lending,MEDIUM,4800.0,3200.0,2025-08-10T09:17:50
mer_0102,CredPay_0102,electronics,HIGH,14500.0,7500.0,2025-09-27T14:23:53
mer_0103,PlayArena_0103,grocery_supermarket,LOW,850.0,380.0,2025-08-14T22:32:33
mer_0104,UrbanMart_0104,pharmacy_healthcare,LOW,950.0,450.0,2026-02-26T14:10:40
mer_0105,ApolloPharmacy_0105,travel_airline,MEDIUM,8200.0,4200.0,2026-02-13T07:03:32
mer_0106,FlipkartExpress_0106,electronics,HIGH,14500.0,7500.0,2025-09-14T15:49:51
mer_0107,MyntraTrends_0107,food_dining,LOW,420.0,180.0,2026-02-24T21:09:35
mer_0108,FlipkartExpress_0108,grocery_supermarket,LOW,850.0,380.0,2026-04-16T13:08:14
mer_0109,AjioFashion_0109,grocery_supermarket,LOW,850.0,380.0,2025-11-02T08:02:13
mer_0110,PharmEasyStore_0110,fintech_lending,MEDIUM,4800.0,3200.0,2025-09-27T17:45:16
mer_0111,ApolloPharmacy_0111,food_dining,LOW,420.0,180.0,2025-08-13T14:05:19
mer_0112,CromaTech_0112,grocery_supermarket,LOW,850.0,380.0,2025-08-24T11:53:09
mer_0113,CredPay_0113,food_dining,LOW,420.0,180.0,2026-03-30T12:54:22
mer_0114,NykaaBeauty_0114,fashion_apparel,MEDIUM,2400.0,1100.0,2025-10-05T12:44:16
mer_0115,SteamGamesInd_0115,grocery_supermarket,LOW,850.0,380.0,2025-09-15T13:05:29
mer_0116,MakeMyTripDirect_0116,digital_gaming,HIGH,1250.0,1600.0,2025-10-25T12:10:39
mer_0117,SwiggyEats_0117,electronics,HIGH,14500.0,7500.0,2025-09-22T15:41:53
mer_0118,ZomatoDirect_0118,electronics,HIGH,14500.0,7500.0,2025-09-17T17:53:18
mer_0119,FreshBazaar_0119,food_dining,LOW,420.0,180.0,2026-01-01T10:21:18
mer_0120,UrbanMart_0120,fashion_apparel,MEDIUM,2400.0,1100.0,2026-04-21T03:49:11
mer_0121,RelianceDigital_0121,fashion_apparel,MEDIUM,2400.0,1100.0,2025-12-29T19:51:38
mer_0122,CromaTech_0122,fashion_apparel,MEDIUM,2400.0,1100.0,2026-03-08T12:27:07
mer_0123,ChaiPoint_0123,grocery_supermarket,LOW,850.0,380.0,2026-04-01T07:02:01
mer_0124,RelianceDigital_0124,food_dining,LOW,420.0,180.0,2026-03-29T06:29:41
mer_0125,MakeMyTripDirect_0125,grocery_supermarket,LOW,850.0,380.0,2025-10-25T17:01:00
mer_0126,SwiggyEats_0126,food_dining,LOW,420.0,180.0,2025-12-16T18:38:22
mer_0127,MyntraTrends_0127,food_dining,LOW,420.0,180.0,2025-12-07T05:50:43
mer_0128,NykaaBeauty_0128,grocery_supermarket,LOW,850.0,380.0,2025-10-12T19:10:52
mer_0129,FlipkartExpress_0129,grocery_supermarket,LOW,850.0,380.0,2025-12-04T23:13:30
mer_0130,NykaaBeauty_0130,fashion_apparel,MEDIUM,2400.0,1100.0,2025-11-12T21:31:24
mer_0131,PlayArena_0131,grocery_supermarket,LOW,850.0,380.0,2026-04-08T18:33:42
mer_0132,MyntraTrends_0132,fintech_lending,MEDIUM,4800.0,3200.0,2025-09-14T04:40:14
mer_0133,RelianceDigital_0133,fashion_apparel,MEDIUM,2400.0,1100.0,2025-12-31T19:54:03
mer_0134,NykaaBeauty_0134,food_dining,LOW,420.0,180.0,2026-03-21T02:13:12
mer_0135,ChaiPoint_0135,fashion_apparel,MEDIUM,2400.0,1100.0,2025-09-24T09:37:54
mer_0136,SteamGamesInd_0136,grocery_supermarket,LOW,850.0,380.0,2025-10-15T15:39:20
mer_0137,SwiggyEats_0137,fintech_lending,MEDIUM,4800.0,3200.0,2026-04-17T16:23:32
mer_0138,ZomatoDirect_0138,food_dining,LOW,420.0,180.0,2026-03-10T21:05:29
mer_0139,CredPay_0139,travel_airline,MEDIUM,8200.0,4200.0,2026-04-27T17:56:38
mer_0140,TataCliq_0140,grocery_supermarket,LOW,850.0,380.0,2026-02-17T21:29:00
mer_0141,SteamGamesInd_0141,food_dining,LOW,420.0,180.0,2026-04-05T00:07:38
mer_0142,TataCliq_0142,food_dining,LOW,420.0,180.0,2025-10-22T07:49:04
mer_0143,PharmEasyStore_0143,fintech_lending,MEDIUM,4800.0,3200.0,2025-12-11T21:51:21
mer_0144,CromaTech_0144,fashion_apparel,MEDIUM,2400.0,1100.0,2025-08-10T08:16:23
mer_0145,CredPay_0145,food_dining,LOW,420.0,180.0,2025-10-11T15:43:56
mer_0146,MyntraTrends_0146,grocery_supermarket,LOW,850.0,380.0,2025-11-17T21:11:51
mer_0147,CromaTech_0147,food_dining,LOW,420.0,180.0,2025-12-15T11:38:59
mer_0148,FlipkartExpress_0148,fashion_apparel,MEDIUM,2400.0,1100.0,2026-04-17T06:50:17
mer_0149,AjioFashion_0149,food_dining,LOW,420.0,180.0,2026-04-13T01:05:46
mer_0150,ApolloPharmacy_0150,grocery_supermarket,LOW,850.0,380.0,2025-11-16T14:19:05
mer_0151,CromaTech_0151,travel_airline,MEDIUM,8200.0,4200.0,2026-04-30T19:37:23
mer_0152,SteamGamesInd_0152,digital_gaming,HIGH,1250.0,1600.0,2026-04-20T13:34:07
mer_0153,SwiggyEats_0153,grocery_supermarket,LOW,850.0,380.0,2026-03-03T20:00:02
mer_0154,ApolloPharmacy_0154,fashion_apparel,MEDIUM,2400.0,1100.0,2025-09-05T06:44:09
mer_0155,IndiGoAviation_0155,grocery_supermarket,LOW,850.0,380.0,2025-12-29T02:07:58
mer_0156,FlipkartExpress_0156,electronics,HIGH,14500.0,7500.0,2025-10-22T09:55:58
mer_0157,CredPay_0157,food_dining,LOW,420.0,180.0,2026-01-10T21:04:36
mer_0158,MakeMyTripDirect_0158,fashion_apparel,MEDIUM,2400.0,1100.0,2026-03-16T06:07:54
mer_0159,FreshBazaar_0159,electronics,HIGH,14500.0,7500.0,2026-01-21T18:54:21
mer_0160,ZomatoDirect_0160,travel_airline,MEDIUM,8200.0,4200.0,2026-04-07T05:38:53
mer_0161,ChaiPoint_0161,grocery_supermarket,LOW,850.0,380.0,2025-10-06T00:45:35
mer_0162,PlayArena_0162,fintech_lending,MEDIUM,4800.0,3200.0,2026-03-13T10:42:17
mer_0163,QuickKart_0163,grocery_supermarket,LOW,850.0,380.0,2026-01-20T09:04:42
mer_0164,SwiggyEats_0164,grocery_supermarket,LOW,850.0,380.0,2025-08-10T09:25:26
mer_0165,IndiGoAviation_0165,fashion_apparel,MEDIUM,2400.0,1100.0,2025-11-23T04:04:42
mer_0166,SteamGamesInd_0166,food_dining,LOW,420.0,180.0,2025-12-29T04:31:38
mer_0167,FlipkartExpress_0167,travel_airline,MEDIUM,8200.0,4200.0,2025-12-06T09:16:39
mer_0168,PharmEasyStore_0168,travel_airline,MEDIUM,8200.0,4200.0,2025-10-02T07:09:20
mer_0169,TataCliq_0169,food_dining,LOW,420.0,180.0,2026-02-22T06:57:30
mer_0170,UrbanMart_0170,fintech_lending,MEDIUM,4800.0,3200.0,2025-11-11T04:04:27
mer_0171,AjioFashion_0171,food_dining,LOW,420.0,180.0,2025-09-08T08:57:33
mer_0172,MakeMyTripDirect_0172,fashion_apparel,MEDIUM,2400.0,1100.0,2025-11-28T10:45:47
mer_0173,MakeMyTripDirect_0173,grocery_supermarket,LOW,850.0,380.0,2026-01-01T10:25:14
mer_0174,FreshBazaar_0174,fintech_lending,MEDIUM,4800.0,3200.0,2026-03-23T19:33:22
mer_0175,MakeMyTripDirect_0175,grocery_supermarket,LOW,850.0,380.0,2026-02-23T23:05:03
mer_0176,PlayArena_0176,grocery_supermarket,LOW,850.0,380.0,2025-08-19T13:45:42
mer_0177,IndiGoAviation_0177,food_dining,LOW,420.0,180.0,2025-12-06T20:38:08
mer_0178,FreshBazaar_0178,pharmacy_healthcare,LOW,950.0,450.0,2026-02-09T15:18:00
mer_0179,FlipkartExpress_0179,digital_gaming,HIGH,1250.0,1600.0,2026-01-09T00:58:24
mer_0180,TataCliq_0180,electronics,HIGH,14500.0,7500.0,2025-11-26T22:26:55
mer_0181,PlayArena_0181,digital_gaming,HIGH,1250.0,1600.0,2025-12-07T20:41:41
mer_0182,UrbanMart_0182,digital_gaming,HIGH,1250.0,1600.0,2025-10-25T01:27:07
mer_0183,AjioFashion_0183,fashion_apparel,MEDIUM,2400.0,1100.0,2026-02-21T11:26:52
mer_0184,AjioFashion_0184,food_dining,LOW,420.0,180.0,2025-11-07T16:58:09
mer_0185,ChaiPoint_0185,travel_airline,MEDIUM,8200.0,4200.0,2026-01-02T11:27:07
mer_0186,ApolloPharmacy_0186,electronics,HIGH,14500.0,7500.0,2025-08-21T00:56:54
mer_0187,RelianceDigital_0187,food_dining,LOW,420.0,180.0,2026-03-20T08:39:38
mer_0188,IndiGoAviation_0188,grocery_supermarket,LOW,850.0,380.0,2026-03-22T22:06:56
mer_0189,RelianceDigital_0189,electronics,HIGH,14500.0,7500.0,2025-12-28T08:27:12
mer_0190,CredPay_0190,grocery_supermarket,LOW,850.0,380.0,2025-12-15T17:52:28
mer_0191,AjioFashion_0191,fintech_lending,MEDIUM,4800.0,3200.0,2025-10-27T11:07:44
mer_0192,CredPay_0192,grocery_supermarket,LOW,850.0,380.0,2026-01-12T21:51:26
mer_0193,TataCliq_0193,grocery_supermarket,LOW,850.0,380.0,2025-08-28T07:07:16
mer_0194,TataCliq_0194,travel_airline,MEDIUM,8200.0,4200.0,2025-12-24T23:23:12
mer_0195,FreshBazaar_0195,grocery_supermarket,LOW,850.0,380.0,2026-03-28T01:54:01
mer_0196,ZomatoDirect_0196,grocery_supermarket,LOW,850.0,380.0,2026-03-30T19:28:14
mer_0197,PlayArena_0197,fashion_apparel,MEDIUM,2400.0,1100.0,2025-08-12T04:19:49
mer_0198,IndiGoAviation_0198,digital_gaming,HIGH,1250.0,1600.0,2026-03-26T19:04:01
mer_0199,FreshBazaar_0199,grocery_supermarket,LOW,850.0,380.0,2025-08-19T01:55:28
mer_0200,FreshBazaar_0200,food_dining,LOW,420.0,180.0,2026-02-15T22:04:14
mer_0201,FlipkartExpress_0201,travel_airline,MEDIUM,8200.0,4200.0,2026-04-06T18:42:30
mer_0202,MakeMyTripDirect_0202,pharmacy_healthcare,LOW,950.0,450.0,2026-02-08T17:30:52
mer_0203,ChaiPoint_0203,fashion_apparel,MEDIUM,2400.0,1100.0,2025-11-17T00:45:25
mer_0204,ChaiPoint_0204,grocery_supermarket,LOW,850.0,380.0,2026-01-06T11:11:14
mer_0205,UrbanMart_0205,grocery_supermarket,LOW,850.0,380.0,2025-10-01T21:26:21
mer_0206,IndiGoAviation_0206,grocery_supermarket,LOW,850.0,380.0,2025-11-18T00:48:03
mer_0207,QuickKart_0207,grocery_supermarket,LOW,850.0,380.0,2026-01-13T18:55:12
mer_0208,IndiGoAviation_0208,electronics,HIGH,14500.0,7500.0,2025-11-11T15:36:12
mer_0209,CromaTech_0209,grocery_supermarket,LOW,850.0,380.0,2025-08-12T16:55:20
mer_0210,CromaTech_0210,fashion_apparel,MEDIUM,2400.0,1100.0,2026-01-10T19:27:56
mer_0211,SteamGamesInd_0211,electronics,HIGH,14500.0,7500.0,2026-03-21T13:41:06
mer_0212,FlipkartExpress_0212,fashion_apparel,MEDIUM,2400.0,1100.0,2026-01-11T15:05:08
mer_0213,PlayArena_0213,grocery_supermarket,LOW,850.0,380.0,2025-09-17T04:03:19
mer_0214,CredPay_0214,travel_airline,MEDIUM,8200.0,4200.0,2026-03-04T05:46:02
mer_0215,TataCliq_0215,electronics,HIGH,14500.0,7500.0,2025-08-18T17:33:20
mer_0216,CredPay_0216,electronics,HIGH,14500.0,7500.0,2025-11-24T03:46:32
mer_0217,FlipkartExpress_0217,grocery_supermarket,LOW,850.0,380.0,2025-11-20T13:48:18
mer_0218,CromaTech_0218,grocery_supermarket,LOW,850.0,380.0,2026-02-05T09:34:30
mer_0219,SwiggyEats_0219,fintech_lending,MEDIUM,4800.0,3200.0,2025-08-26T11:26:17
mer_0220,IndiGoAviation_0220,food_dining,LOW,420.0,180.0,2026-04-22T06:19:57
mer_0221,UrbanMart_0221,food_dining,LOW,420.0,180.0,2026-02-10T08:36:36
mer_0222,TataCliq_0222,food_dining,LOW,420.0,180.0,2026-01-09T00:46:04
mer_0223,ApolloPharmacy_0223,electronics,HIGH,14500.0,7500.0,2025-12-24T03:15:19
mer_0224,UrbanMart_0224,fintech_lending,MEDIUM,4800.0,3200.0,2025-12-24T23:37:13
mer_0225,CredPay_0225,food_dining,LOW,420.0,180.0,2026-03-23T01:26:59
mer_0226,UrbanMart_0226,fintech_lending,MEDIUM,4800.0,3200.0,2026-03-02T02:09:30
mer_0227,PlayArena_0227,grocery_supermarket,LOW,850.0,380.0,2026-04-06T06:49:52
mer_0228,FreshBazaar_0228,fashion_apparel,MEDIUM,2400.0,1100.0,2025-11-28T10:28:22
mer_0229,CromaTech_0229,fashion_apparel,MEDIUM,2400.0,1100.0,2026-01-27T06:22:15
mer_0230,SteamGamesInd_0230,grocery_supermarket,LOW,850.0,380.0,2025-11-30T05:47:54
mer_0231,PlayArena_0231,grocery_supermarket,LOW,850.0,380.0,2025-11-23T18:39:04
mer_0232,RelianceDigital_0232,food_dining,LOW,420.0,180.0,2025-10-24T11:01:34
mer_0233,TataCliq_0233,pharmacy_healthcare,LOW,950.0,450.0,2025-12-05T07:12:35
mer_0234,CredPay_0234,fashion_apparel,MEDIUM,2400.0,1100.0,2025-11-08T01:17:38
mer_0235,SwiggyEats_0235,fintech_lending,MEDIUM,4800.0,3200.0,2025-11-24T11:16:03
mer_0236,SteamGamesInd_0236,travel_airline,MEDIUM,8200.0,4200.0,2025-11-06T20:14:02
mer_0237,PlayArena_0237,food_dining,LOW,420.0,180.0,2025-11-16T12:08:51
mer_0238,MyntraTrends_0238,travel_airline,MEDIUM,8200.0,4200.0,2026-02-05T14:55:57
mer_0239,PlayArena_0239,grocery_supermarket,LOW,850.0,380.0,2026-02-24T12:04:37
mer_0240,PharmEasyStore_0240,grocery_supermarket,LOW,850.0,380.0,2025-10-01T09:26:22
mer_0241,ApolloPharmacy_0241,travel_airline,MEDIUM,8200.0,4200.0,2026-01-29T11:17:29
mer_0242,CredPay_0242,travel_airline,MEDIUM,8200.0,4200.0,2025-12-04T17:32:40
mer_0243,MakeMyTripDirect_0243,grocery_supermarket,LOW,850.0,380.0,2026-03-09T19:36:52
mer_0244,ZomatoDirect_0244,fashion_apparel,MEDIUM,2400.0,1100.0,2026-01-05T12:24:37
mer_0245,CredPay_0245,fashion_apparel,MEDIUM,2400.0,1100.0,2025-12-09T23:46:46
mer_0246,NykaaBeauty_0246,digital_gaming,HIGH,1250.0,1600.0,2025-11-13T23:26:21
mer_0247,FlipkartExpress_0247,fashion_apparel,MEDIUM,2400.0,1100.0,2025-12-10T21:04:46
mer_0248,MyntraTrends_0248,food_dining,LOW,420.0,180.0,2026-01-24T14:56:26
mer_0249,MyntraTrends_0249,food_dining,LOW,420.0,180.0,2025-08-15T07:43:20
mer_0250,ChaiPoint_0250,food_dining,LOW,420.0,180.0,2025-12-14T13:26:59
